timestamp,test_value
1459926000,1
1459929600,1
1459933200,1
1459936800,1
1459940400,1
1459944000,1
1459947600,1
1459951200,1
1459954800,1
1459958400,1
1459962000,1
1459965600,1
1459969200,1
1459972800,1
1459976400,1
1459980000,1
1459983600,1
1459987200,1
1459990800,1
1459994400,1
1459998000,1
1460001600,1
1460005200,1
1460008800,1
1460012400,1
1460016000,1
1460019600,1
1460023200,1
1460026800,1
1460030400,1
1460034000,1
1460037600,1
1460041200,1
1460044800,1
1460048400,1
1460052000,1
1460055600,1
1460059200,1
1460062800,1
1460066400,1
1460070000,1
1460073600,1
1460077200,1
1460080800,1
1460084400,1
1460088000,1
1460091600,1
1460095200,1
1460098800,1
1460102400,0
